epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7258,0.88086,3.26877,1.04302,0.01293,0.97762,0.3228,0.24756,0.64667,3.27632,0.84521,0.000464425,0.000464425,0.000464425
2,61.0134,0.87055,2.42972,1.00413,0.96275,0.27104,0.71246,0.54699,0.72798,2.60533,0.87957,0.000754488,0.000754488,0.000754488
3,90.9882,0.95935,1.8342,1.05686,0.70705,0.73875,0.76443,0.58147,0.82796,1.68899,0.94316,0.000855923,0.000855923,0.000855923
4,120.834,0.94901,1.44198,1.06756,0.7886,0.79445,0.85596,0.68817,0.72898,1.20905,0.93245,0.000580174,0.000580174,0.000580174
5,150.583,0.87485,1.24092,1.03238,0.92597,0.82435,0.92111,0.78874,0.61862,0.9485,0.90669,0.000297232,0.000297232,0.000297232
