epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.7977,0.70349,3.03173,1.04598,0.8417,0.51962,0.79543,0.69093,0.50384,1.93769,0.8618,0.000473356,0.000473356,0.000473356
2,136.086,0.74404,2.2898,1.06266,0.764,0.71956,0.79559,0.66464,0.55196,1.58042,0.93027,0.000761651,0.000761651,0.000761651
3,202.93,0.79142,2.05622,1.11096,0.80495,0.75245,0.88098,0.7368,0.57242,1.72569,0.93021,0.000861318,0.000861318,0.000861318
4,269.395,0.74358,1.85932,1.07641,0.73795,0.75848,0.84758,0.71688,0.5538,1.83378,0.91899,0.000580174,0.000580174,0.000580174
5,335.9,0.70128,1.69598,1.04519,0.88108,0.8326,0.90977,0.82272,0.44864,1.34762,0.87953,0.000297232,0.000297232,0.000297232
